,Date,Temp_H,Temp_avg,Temp_L,Dew_H,Dew_avg,Dew_L,Humidity_H,Humidity_avg,Humidity_L,Pressure_H,Pressure_avg,Pressure_L,Visibility_H,Visibility_avg,Visibility_L,Wind_H,Wind_avg,Gust_Speed_H,Precip_sum,Events,Month
157,5,31,26,21,17,13,1,78,49,15,1018,1016,1015,10,8,6,37,23,- ,0,  ,6.0
158,6,36,28,20,16,7,-3,78,32,4,1017,1016,1015,10,10,10,37,23,- ,0,  ,6.0
159,7,34,29,24,17,11,4,57,34,12,1016,1015,1013,10,7,6,24,11,- ,0,  ,6.0
160,8,42,33,25,15,4,-5,42,20,4,1013,1009,1005,10,5,2,39,18,- ,0,  ,6.0
161,9,31,27,23,18,16,14,73,54,30,1013,1010,1008,10,8,6,27,21,- ,0,  ,6.0
162,10,32,27,21,19,14,9,83,50,20,1013,1012,1010,10,6,4,24,14,- ,0,  ,6.0
163,11,34,27,21,18,13,7,83,47,14,1013,1011,1008,10,6,4,19,11,- ,0,  ,6.0
164,12,33,28,24,19,14,9,65,42,19,1010,1008,1007,10,6,4,26,16,- ,0,  ,6.0
165,13,30,25,20,17,14,10,78,52,26,1012,1010,1009,10,9,6,32,14,- ,0,  ,6.0
166,14,30,26,21,17,14,9,78,51,21,1013,1012,1010,10,9,6,26,14,- ,0,  ,6.0
167,15,29,23,17,17,15,13,78,56,28,1013,1012,1011,10,10,10,24,14,- ,0,  ,6.0
168,16,29,26,21,18,16,13,78,59,33,1013,1012,1010,10,10,10,27,18,- ,0,  ,6.0
169,17,32,27,22,19,17,13,83,55,28,1011,1009,1007,10,9,4,26,16,- ,0,  ,6.0
170,18,35,29,22,20,16,10,88,52,17,1008,1007,1005,10,5,1,24,13,- ,0,  ,6.0
171,19,35,29,24,21,16,11,78,47,15,1007,1006,1005,10,5,2,23,11,- ,0,  ,6.0
172,20,37,30,23,18,13,7,65,36,9,1009,1008,1006,10,10,10,27,13,- ,0,  ,6.0
173,21,36,30,25,21,14,9,74,41,12,1009,1008,1007,10,8,6,27,14,- ,0,  ,6.0
174,22,35,29,24,21,16,6,78,49,9,1009,1008,1006,10,9,6,26,13,- ,0,  ,6.0
175,23,35,29,24,22,18,10,83,55,15,1009,1008,1007,10,6,3,26,13,- ,0,  ,6.0
176,24,35,29,23,20,16,11,74,46,18,1010,1009,1008,10,6,3,23,11,- ,0,  ,6.0
177,25,35,29,23,17,14,7,61,40,16,1011,1009,1008,10,10,10,24,13,- ,0,  ,6.0
178,26,35,29,23,21,17,8,88,52,19,1011,1010,1009,10,5,3,23,13,- ,0,  ,6.0
179,27,32,28,23,20,18,15,78,59,26,1011,1010,1008,10,6,6,24,14,- ,0,  ,6.0
180,28,34,29,23,21,17,13,83,54,24,1010,1009,1008,10,10,10,27,19,- ,0,  ,6.0
181,29,33,28,22,20,18,15,83,58,28,1010,1009,1008,10,7,4,27,19,- ,0,  ,6.0
182,30,33,28,23,20,17,11,83,56,21,1012,1010,1009,10,7,6,27,19,- ,0,  ,6.0
183,1,31,27,22,19,16,14,78,57,29,1012,1011,1010,10,10,10,27,19,- ,0,  ,6.0
184,2,31,27,22,19,17,15,78,57,29,1012,1010,1008,10,9,4,24,19,- ,0,  ,7.0
185,3,32,27,22,21,18,13,83,60,29,1009,1008,1006,10,8,6,27,16,- ,0,  ,7.0
186,4,33,28,22,21,17,9,83,58,19,1010,1008,1007,10,5,3,26,16,- ,0,  ,7.0
187,5,32,27,22,20,17,14,88,59,26,1010,1009,1007,10,6,3,24,16,- ,0,  ,7.0
188,6,31,27,22,19,17,15,83,59,31,1011,1009,1008,10,8,6,24,16,- ,0,  ,7.0
189,7,32,27,22,20,18,16,88,60,30,1013,1011,1010,10,7,4,23,18,- ,0,  ,7.0
190,8,32,27,22,20,18,16,88,60,28,1013,1012,1011,10,10,10,23,16,- ,0,  ,7.0
191,9,32,27,23,20,18,16,83,60,34,1013,1010,1008,10,7,2,27,18,- ,0,  ,7.0
192,10,33,28,23,21,18,13,88,59,27,1009,1007,1005,10,8,4,26,16,- ,0,  ,7.0
193,11,33,28,23,21,19,16,83,61,27,1009,1007,1006,10,8,6,27,16,- ,0,  ,7.0
194,12,33,28,23,21,19,17,88,64,35,1010,1009,1008,10,7,6,40,18,- ,0,  ,7.0
195,13,33,28,23,21,19,15,88,60,24,1009,1008,1006,10,9,6,29,16,- ,0,  ,7.0
196,14,33,28,23,21,19,16,78,60,25,1008,1008,1006,10,10,10,29,18,- ,0,  ,7.0
197,15,34,28,23,21,19,15,83,59,25,1009,1007,1006,10,7,4,35,14,- ,0,  ,7.0
198,16,33,28,23,21,19,14,83,60,27,1010,1009,1007,10,10,10,35,18,- ,0,  ,7.0
199,17,33,28,22,20,17,12,78,54,23,1011,1010,1009,10,9,6,35,16,- ,0,  ,7.0
200,18,32,28,23,20,17,14,78,53,31,1011,1010,1009,10,9,6,29,11,- ,0,  ,7.0
201,19,32,28,23,21,19,17,78,61,36,1011,1009,1008,10,10,10,24,14,- ,0,  ,7.0
202,20,33,28,23,21,19,17,83,62,34,1009,1008,1007,10,8,6,26,14,- ,0,  ,7.0
203,21,32,27,22,20,17,12,83,56,27,1009,1008,1006,10,7,6,24,13,- ,0,  ,7.0
204,22,32,27,22,19,17,13,78,56,27,1008,1006,1004,10,10,10,24,13,- ,0,  ,7.0
205,23,32,28,23,21,19,14,83,62,35,1008,1006,1005,10,7,6,24,14,- ,0,  ,7.0
206,24,33,28,23,21,19,13,88,61,28,1010,1008,1007,10,6,6,24,11,- ,0,  ,7.0
207,25,34,28,23,20,18,13,83,58,26,1010,1009,1007,10,7,6,24,14,- ,0,  ,7.0
208,26,34,28,23,22,18,13,88,56,25,1008,1006,1005,10,6,3,24,11,- ,0,  ,7.0
209,27,35,29,23,20,17,10,78,49,22,1006,1005,1004,10,10,10,19,14,- ,0,  ,7.0
210,28,35,29,23,23,17,8,94,52,11,1009,1007,1006,10,4,2,23,11,- ,0,  ,7.0
211,29,36,29,23,19,13,6,61,37,9,1011,1009,1008,10,10,10,26,16,- ,0,  ,7.0
212,30,35,29,24,20,14,6,78,42,11,1009,1008,1006,10,9,6,24,13,- ,0,  ,7.0
213,31,34,29,23,20,14,5,73,42,8,1007,1006,1005,10,6,4,19,8,- ,0,  ,7.0
214,1,37,30,24,19,13,4,57,36,7,1008,1007,1005,10,6,6,21,10,- ,0,  ,7.0
215,2,36,31,26,23,18,13,79,48,19,1011,1009,1007,10,7,6,27,11,- ,0,  ,8.0
216,3,34,29,24,22,20,14,83,59,25,1011,1010,1009,10,10,10,21,13,- ,0,  ,8.0
217,4,33,29,24,21,20,17,78,60,35,1010,1009,1008,10,8,4,23,11,- ,0,  ,8.0
218,5,36,29,23,22,19,11,83,57,15,1008,1007,1006,10,8,6,23,13,- ,0,  ,8.0
219,6,37,31,24,23,19,10,94,59,20,1008,1006,1005,10,5,3,26,13,- ,0,  ,8.0
220,7,36,30,24,22,18,5,83,54,8,1009,1008,1007,10,8,6,26,13,- ,0,  ,8.0
221,8,35,29,24,23,18,12,83,55,23,1010,1009,1008,10,6,3,32,13,- ,0,  ,8.0
222,9,36,29,23,22,18,9,89,56,12,1009,1008,1006,10,7,4,27,10,- ,0,  ,8.0
223,10,34,29,24,22,18,10,83,57,17,1007,1006,1003,10,10,10,26,11,- ,0,  ,8.0
224,11,35,29,24,21,16,6,78,46,13,1008,1006,1005,10,7,6,26,10,- ,0,  ,8.0
225,12,34,29,24,21,18,13,70,52,21,1010,1009,1008,10,8,6,24,11,- ,0,  ,8.0
226,13,32,28,24,21,19,16,74,57,31,1009,1008,1007,10,10,10,24,14,- ,0,  ,8.0
227,14,33,28,24,21,19,16,83,56,28,1008,1007,1005,10,9,6,24,11,- ,0,  ,8.0
228,15,35,29,24,22,19,11,83,57,23,1009,1008,1006,10,6,6,21,10,- ,0,  ,8.0
229,16,36,30,24,24,21,16,83,62,30,1009,1007,1005,10,6,6,21,11,- ,0,  ,8.0
230,17,36,30,24,23,21,15,89,59,20,1009,1008,1006,10,5,3,24,14,- ,0,  ,8.0
